country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Croatia,1995,4616766,-0.68 %,-31922,-28716.0,37.9,1.52,83,52.3 %,2413578,0.08 %,5744212979,111
Croatia,1990,4776374,0.25 %,12051,5229.0,35.8,1.72,85,51.0 %,2437730,0.09 %,5327231061,105
Croatia,1985,4716117,0.51 %,23597,10874.0,34.3,1.87,84,49.3 %,2324414,0.10 %,4870921740,102
Croatia,1980,4598130,0.43 %,19453,3736.0,33.5,1.9,82,47.3 %,2174204,0.10 %,4458003514,98
Croatia,1975,4500867,0.35 %,15559,-3681.0,33.1,1.98,80,43.9 %,1974264,0.11 %,4079480606,94
Croatia,1970,4423073,0.43 %,18830,-245.0,32.1,2.0,79,40.2 %,1777916,0.12 %,3700437046,92
Croatia,1965,4328923,0.64 %,27258,371.0,30.7,2.22,77,35.0 %,1514128,0.13 %,3339583597,77
Croatia,1960,4192635,0.79 %,32444,-4.0,29.2,2.38,75,30.2 %,1264238,0.14 %,3034949748,80
Croatia,1955,4030415,0.92 %,36024,-4.0,28.2,2.73,72,26.0 %,1049201,0.15 %,2773019936,77
Cuba,2020,11326616,-0.06 %,-6867,-14400.0,42.2,1.62,106,78.3 %,8873848,0.15 %,7794798739,83
Cuba,2019,11333483,-0.04 %,-4651,-14400.0,41.1,1.69,106,78.2 %,8861423,0.15 %,7713468100,82
Cuba,2018,11338134,-0.01 %,-1120,-14400.0,41.1,1.69,107,78.1 %,8850817,0.15 %,7631091040,81
Cuba,2017,11339254,0.04 %,4150,-14400.0,41.1,1.69,107,78.0 %,8840528,0.15 %,7547858925,79
Cuba,2016,11335104,0.09 %,10323,-14400.0,41.1,1.69,106,77.9 %,8828473,0.15 %,7464022049,78
Cuba,2015,11324781,0.18 %,19790,-16000.0,40.8,1.71,106,77.8 %,8813348,0.15 %,7379797139,77
Cuba,2010,11225832,-0.06 %,-7150,-48000.0,38.4,1.58,105,77.3 %,8680787,0.16 %,6956823603,75
Cuba,2005,11261582,0.24 %,27030,-29126.0,35.6,1.59,106,76.3 %,8591135,0.17 %,6541907027,72
Cuba,2000,11126430,0.43 %,47636,-26568.0,32.8,1.61,105,75.5 %,8399081,0.18 %,6143493823,70
Cuba,1995,10888252,0.54 %,58253,-24001.0,30.2,1.58,102,74.4 %,8100649,0.19 %,5744212979,65
Cuba,1990,10596987,0.97 %,99815,-14000.0,27.7,1.85,100,73.3 %,7763393,0.20 %,5327231061,63
Cuba,1985,10097911,0.50 %,49690,-54000.0,25.6,1.85,95,70.8 %,7152196,0.21 %,4870921740,60
Cuba,1980,9849459,0.84 %,80603,-32000.0,24.1,2.15,93,68.0 %,6698300,0.22 %,4458003514,59
Cuba,1975,9446442,1.63 %,146780,-38000.0,22.6,3.55,89,64.2 %,6061735,0.23 %,4079480606,59
Cuba,1970,8712541,1.83 %,150874,-49685.0,22.2,4.18,82,60.3 %,5252258,0.24 %,3700437046,60
Cuba,1965,7958169,2.19 %,163384,-40809.0,22.3,4.68,75,59.3 %,4718411,0.24 %,3339583597,62
Cuba,1960,7141250,1.78 %,120359,-11000.0,22.9,3.7,67,58.4 %,4170482,0.24 %,3034949748,63
Cuba,1955,6539454,2.01 %,123892,-6000.0,22.4,4.15,61,57.5 %,3757473,0.24 %,2773019936,62
Curaçao,2020,164093,0.41 %,669,515.0,41.6,1.76,370,88.7 %,145612,0.00 %,7794798739,192
Curaçao,2019,163424,0.41 %,672,515.0,41.0,2.04,368,88.6 %,144826,0.00 %,7713468100,192
Curaçao,2018,162752,0.47 %,755,515.0,41.0,2.04,367,88.5 %,144037,0.00 %,7631091040,192
Curaçao,2017,161997,0.59 %,945,515.0,41.0,2.04,365,88.4 %,143206,0.00 %,7547858925,192
Curaçao,2016,161052,0.75 %,1205,515.0,41.0,2.04,363,88.3 %,142274,0.00 %,7464022049,192
Curaçao,2015,159847,1.39 %,2131,1363.0,40.9,2.12,360,88.3 %,141185,0.00 %,7379797139,192
Curaçao,2010,149192,2.77 %,3812,3073.0,39.6,2.18,336,89.0 %,132708,0.00 %,6956823603,192
Curaçao,2005,130130,-0.31 %,-402,-1214.0,37.8,2.26,293,90.0 %,117145,0.00 %,6541907027,192
Curaçao,2000,132140,-1.69 %,-2348,-3415.0,35.5,2.13,298,90.7 %,119883,0.00 %,6143493823,192
Curaçao,1995,143882,-0.38 %,-558,-2303.0,31.9,2.28,324,87.7 %,126158,0.00 %,5744212979,188
Curaçao,1990,146670,-0.50 %,-741,-2909.0,28.6,2.3,330,84.7 %,124198,0.00 %,5327231061,185
Curaçao,1985,150377,0.32 %,476,-1693.0,25.8,2.25,339,83.3 %,125225,0.00 %,4870921740,185
Curaçao,1980,147996,-0.30 %,-452,-2650.0,23.3,2.45,333,81.8 %,121016,0.00 %,4458003514,183
Curaçao,1975,150258,0.91 %,1325,-1000.0,20.7,2.87,338,80.2 %,120448,0.00 %,4079480606,180
Curaçao,1970,143634,1.42 %,1951,-905.0,19.7,3.8,324,78.4 %,112678,0.00 %,3700437046,177
Curaçao,1965,133878,1.07 %,1387,-1550.0,19.6,4.4,302,76.6 %,102592,0.00 %,3339583597,173
Curaçao,1960,126941,1.66 %,2005,-1197.0,19.9,5.1,286,74.7 %,94838,0.00 %,3034949748,173
Curaçao,1955,116916,3.14 %,3347,524.0,21.4,5.07,263,72.7 %,84982,0.00 %,2773019936,173
Cyprus,2020,1207359,0.73 %,8784,5000.0,37.3,1.34,131,66.8 %,806754,0.02 %,7794798739,158
Cyprus,2019,1198575,0.78 %,9310,5000.0,35.4,1.37,130,66.8 %,800615,0.02 %,7713468100,158
Cyprus,2018,1189265,0.81 %,9587,5000.0,35.4,1.37,129,66.8 %,794433,0.02 %,7631091040,158
Cyprus,2017,1179678,0.81 %,9491,5000.0,35.4,1.37,128,66.8 %,788359,0.02 %,7547858925,158
Cyprus,2016,1170187,0.79 %,9202,5000.0,35.4,1.37,127,66.9 %,782589,0.02 %,7464022049,158
Cyprus,2015,1160985,0.85 %,9675,4502.0,34.9,1.38,126,66.9 %,777234,0.02 %,7379797139,158
Cyprus,2010,1112612,1.60 %,16990,11732.0,33.9,1.48,120,67.6 %,751576,0.02 %,6956823603,156
Cyprus,2005,1027662,1.73 %,16874,11506.0,32.9,1.59,111,68.3 %,701562,0.02 %,6541907027,155
Cyprus,2000,943290,1.98 %,17581,10652.0,31.8,1.89,102,68.6 %,647550,0.02 %,6143493823,155
Cyprus,1995,855383,2.22 %,17754,8639.0,31.0,2.33,93,68.0 %,581986,0.01 %,5744212979,155
Cyprus,1990,766615,1.73 %,12586,3433.0,29.9,2.43,83,66.8 %,511911,0.01 %,5327231061,155
Cyprus,1985,703685,0.53 %,3656,-5527.0,29.1,2.45,76,64.7 %,455131,0.01 %,4870921740,156
Cyprus,1980,685405,1.07 %,7131,-243.0,28.3,2.29,74,58.6 %,401746,0.02 %,4458003514,154
Cyprus,1975,649751,1.15 %,7227,611.0,27.4,2.49,70,47.3 %,307187,0.02 %,4079480606,152
Cyprus,1970,613618,1.10 %,6530,-1569.0,26.0,2.8,66,40.8 %,250120,0.02 %,3700437046,152
Cyprus,1965,580966,0.28 %,1607,-8605.0,23.4,3.44,63,38.2 %,221858,0.02 %,3339583597,148
Cyprus,1960,572930,1.57 %,8592,-1330.0,23.0,3.5,62,35.6 %,204124,0.02 %,3034949748,148
Cyprus,1955,529972,1.42 %,7191,-2760.0,24.4,3.71,57,32.3 %,171363,0.02 %,2773019936,148
Czech Republic,2020,10708981,0.18 %,19772,22011.0,43.2,1.64,139,73.5 %,7875268,0.14 %,7794798739,86
Czech Republic,2019,10689209,0.22 %,23532,22011.0,41.8,1.51,138,73.5 %,7858221,0.14 %,7713468100,86
Czech Republic,2018,10665677,0.23 %,24643,22011.0,41.8,1.51,138,73.5 %,7840580,0.14 %,7631091040,85
Czech Republic,2017,10641034,0.21 %,22177,22011.0,41.8,1.51,138,73.5 %,7823027,0.14 %,7547858925,85
Czech Republic,2016,10618857,0.16 %,17460,22011.0,41.8,1.51,137,73.5 %,7806474,0.14 %,7464022049,84
Czech Republic,2015,10601397,0.12 %,12976,11999.0,41.4,1.48,137,73.5 %,7791316,0.14 %,7379797139,84
Czech Republic,2010,10536518,0.54 %,55670,50178.0,39.6,1.43,136,73.3 %,7718331,0.15 %,6956823603,80
Czech Republic,2005,10258167,-0.06 %,-6241,9480.0,38.7,1.19,133,73.6 %,7550197,0.16 %,6541907027,78
Czech Republic,2000,10289373,-0.13 %,-13764,9200.0,37.5,1.17,133,74.0 %,7613078,0.17 %,6143493823,75
Czech Republic,1995,10358193,0.03 %,3464,6000.0,36.1,1.65,134,74.6 %,7731829,0.18 %,5744212979,69
Czech Republic,1990,10340875,0.02 %,1946,1134.0,35.3,1.9,134,75.2 %,7778590,0.19 %,5327231061,66
Czech Republic,1985,10331143,-0.03 %,-3588,-10589.0,34.1,1.97,134,75.4 %,7786240,0.21 %,4870921740,59
Czech Republic,1980,10349083,0.55 %,55826,2000.0,32.9,2.36,134,75.2 %,7779281,0.23 %,4458003514,57
Czech Republic,1975,10069955,0.51 %,50457,2000.0,32.7,2.21,130,69.9 %,7040748,0.25 %,4079480606,56
Czech Republic,1970,9817669,0.01 %,1258,-25820.0,33.6,1.96,127,64.4 %,6322841,0.27 %,3700437046,53
Czech Republic,1965,9811377,0.46 %,44241,5000.0,33.8,2.21,127,62.0 %,6084603,0.29 %,3339583597,39
Czech Republic,1960,9590174,0.48 %,45680,-7277.0,33.2,2.38,124,59.5 %,5710811,0.32 %,3034949748,46
Czech Republic,1955,9361772,1.01 %,91831,11999.0,32.2,2.74,121,56.9 %,5325369,0.34 %,2773019936,39
Democratic Republic Of The Congo,2020,89561403,3.19 %,2770836,23861.0,17.0,5.96,40,45.6 %,40848447,1.15 %,7794798739,16
Democratic Republic Of The Congo,2019,86790567,3.24 %,2722476,23861.0,16.8,6.31,38,45.0 %,39067608,1.13 %,7713468100,16
Democratic Republic Of The Congo,2018,84068091,3.28 %,2669327,23861.0,16.8,6.31,37,44.4 %,37348939,1.10 %,7631091040,16
Democratic Republic Of The Congo,2017,81398764,3.31 %,2609637,23861.0,16.8,6.31,36,43.8 %,35692384,1.08 %,7547858925,17
Democratic Republic Of The Congo,2016,78789127,3.34 %,2544583,23861.0,16.8,6.31,35,43.3 %,34098241,1.06 %,7464022049,19
Democratic Republic Of The Congo,2015,76244544,3.38 %,2336138,3012.0,16.8,6.4,34,42.7 %,32566508,1.03 %,7379797139,19
Democratic Republic Of The Congo,2010,64563854,3.34 %,1955590,-8685.0,16.9,6.63,28,40.0 %,25817901,0.93 %,6956823603,20
Democratic Republic Of The Congo,2005,54785903,3.07 %,1536015,-48313.0,17.0,6.72,24,37.5 %,20521483,0.84 %,6541907027,23
Democratic Republic Of The Congo,2000,47105826,2.53 %,1105918,-191635.0,17.2,6.77,21,35.1 %,16534234,0.77 %,6143493823,25
Democratic Republic Of The Congo,1995,41576234,3.73 %,1392842,257421.0,17.2,6.77,18,32.9 %,13659173,0.72 %,5744212979,26
Democratic Republic Of The Congo,1990,34612023,2.98 %,946159,14903.0,17.4,6.71,15,30.6 %,10603379,0.65 %,5327231061,29
Democratic Republic Of The Congo,1985,29881229,2.54 %,704464,-90094.0,17.5,6.6,13,28.5 %,8520577,0.61 %,4870921740,31
Democratic Republic Of The Congo,1980,26358908,2.85 %,691065,20137.0,17.7,6.46,12,27.1 %,7135522,0.59 %,4458003514,31
Democratic Republic Of The Congo,1975,22903581,2.74 %,578509,5490.0,17.8,6.29,10,25.8 %,5913533,0.56 %,4079480606,32
Democratic Republic Of The Congo,1970,20011036,2.87 %,528231,48588.0,18.1,6.15,9,24.6 %,4924023,0.54 %,3700437046,33
Democratic Republic Of The Congo,1965,17369883,2.64 %,424326,24530.0,18.2,6.04,8,23.4 %,4070472,0.52 %,3339583597,33
Democratic Republic Of The Congo,1960,15248251,2.44 %,346148,15000.0,18.2,5.98,7,22.3 %,3400360,0.50 %,3034949748,33
Democratic Republic Of The Congo,1955,13517513,2.10 %,266771,0.0,18.1,5.98,6,20.7 %,2791904,0.49 %,2773019936,33
Denmark,2020,5792202,0.35 %,20326,15200.0,42.3,1.76,137,88.2 %,5107903,0.07 %,7794798739,115
Denmark,2019,5771876,0.34 %,19750,15200.0,41.7,1.74,136,88.0 %,5081840,0.07 %,7713468100,115
Denmark,2018,5752126,0.35 %,19852,15200.0,41.7,1.74,136,87.9 %,5056587,0.08 %,7631091040,115
Denmark,2017,5732274,0.37 %,20925,15200.0,41.7,1.74,135,87.8 %,5031580,0.08 %,7547858925,114
Denmark,2016,5711349,0.40 %,22654,15200.0,41.7,1.74,135,87.7 %,5006008,0.08 %,7464022049,113
Denmark,2015,5688695,0.48 %,26770,21368.0,41.6,1.73,134,87.5 %,4979108,0.08 %,7379797139,113
Denmark,2010,5554844,0.49 %,26628,17598.0,40.6,1.85,131,86.8 %,4821305,0.08 %,6956823603,111
Denmark,2005,5421702,0.30 %,16102,9261.0,39.6,1.76,128,85.9 %,4654838,0.08 %,6541907027,110
Denmark,2000,5341194,0.41 %,21698,14914.0,38.4,1.76,126,85.1 %,4545356,0.09 %,6143493823,105
Denmark,1995,5232704,0.35 %,18318,13093.0,37.7,1.75,123,85.0 %,4446693,0.09 %,5744212979,102
Denmark,1990,5141115,0.10 %,5374,6568.0,37.1,1.54,121,84.8 %,4361901,0.10 %,5327231061,101
Denmark,1985,5114243,-0.04 %,-1940,1864.0,36.0,1.43,121,84.4 %,4313899,0.10 %,4870921740,97
Denmark,1980,5123945,0.24 %,12243,2985.0,34.3,1.68,121,83.7 %,4289924,0.11 %,4458003514,92
Denmark,1975,5062729,0.53 %,26298,4651.0,33.0,1.96,119,82.1 %,4158823,0.12 %,4079480606,87
Denmark,1970,4931241,0.71 %,34156,4373.0,32.5,2.27,116,79.7 %,3932046,0.13 %,3700437046,83
Denmark,1965,4760460,0.77 %,35872,451.0,32.8,2.58,112,77.0 %,3667824,0.14 %,3339583597,75
Denmark,1960,4581101,0.62 %,28065,-6528.0,33.0,2.55,108,73.7 %,3375657,0.15 %,3034949748,75
Denmark,1955,4440778,0.80 %,34501,-3656.0,32.4,2.55,105,69.6 %,3091616,0.16 %,2773019936,75
Djibouti,2020,988000,1.48 %,14440,900.0,26.6,2.76,43,79.0 %,780538,0.01 %,7794798739,160
Djibouti,2019,973560,1.53 %,14637,900.0,25.3,3.03,42,78.9 %,768001,0.01 %,7713468100,160
Djibouti,2018,958923,1.57 %,14824,900.0,25.3,3.03,41,78.8 %,755533,0.01 %,7631091040,160
Djibouti,2017,944099,1.61 %,14987,900.0,25.3,3.03,41,78.7 %,743079,0.01 %,7547858925,160
Djibouti,2016,929112,1.65 %,15119,900.0,25.3,3.03,40,78.6 %,730569,0.01 %,7464022049,160
Djibouti,2015,913993,1.70 %,14759,1200.0,25.0,3.1,39,78.6 %,717972,0.01 %,7379797139,160
Djibouti,2010,840198,1.41 %,11389,-2444.0,23.4,3.55,36,78.0 %,655376,0.01 %,6956823603,161
Djibouti,2005,783254,1.77 %,13134,-1799.0,20.1,4.21,34,76.8 %,601236,0.01 %,6541907027,161
Djibouti,2000,717584,2.62 %,17439,1998.0,19.3,4.81,31,76.5 %,549178,0.01 %,6143493823,160
Djibouti,1995,630388,1.32 %,7998,-9000.0,18.1,5.85,27,76.3 %,480987,0.01 %,5744212979,160
Djibouti,1990,590398,6.76 %,32957,18000.0,17.4,6.18,25,76.0 %,448449,0.01 %,5327231061,161
Djibouti,1985,425613,3.47 %,13331,2000.0,17.2,6.45,18,74.9 %,318890,0.01 %,4870921740,162
Djibouti,1980,358960,9.87 %,26955,18239.0,16.5,6.64,15,72.1 %,258795,0.01 %,4458003514,165
Djibouti,1975,224183,7.02 %,12905,6999.0,16.6,6.85,10,67.1 %,150521,0.01 %,4079480606,173
Djibouti,1970,159659,6.79 %,8939,5000.0,17.5,6.71,7,61.8 %,98633,0.00 %,3700437046,176
Djibouti,1965,114963,6.57 %,6265,3600.0,18.0,6.55,5,56.1 %,64504,0.00 %,3339583597,184
Djibouti,1960,83636,3.75 %,2809,1000.0,18.0,6.39,4,50.3 %,42090,0.00 %,3034949748,183
Djibouti,1955,69589,2.34 %,1518,200.0,17.5,6.31,3,45.0 %,31323,0.00 %,2773019936,184
Dominica,2019,71808,0.26 %,183,,,,96,73.6 %,52863,0.00 %,7713468100,204
Dominica,2018,71625,0.23 %,167,,,,96,73.1 %,52375,0.00 %,7631091040,204
Dominica,2017,71458,0.21 %,151,,,,95,72.6 %,51881,0.00 %,7547858925,204
Dominica,2016,71307,0.17 %,124,,,,95,72.1 %,51392,0 %,7464022049,204
Dominica,2015,71183,0.09 %,61,,,,95,71.5 %,50906,0 %,7379797139,204
Dominica,2010,70878,0.08 %,58,,,,95,68.6 %,48647,0 %,6956823603,204
Dominica,2005,70589,0.27 %,188,,,,94,66.6 %,47038,0 %,6541907027,204
Dominica,2000,69650,-0.41 %,-290,,,,93,65.3 %,45474,0 %,6143493823,203
Dominica,1995,71098,0.19 %,136,,,,95,65.1 %,46268,0 %,5744212979,202
Dominica,1990,70419,-0.77 %,-556,,,,94,63.5 %,44739,0 %,5327231061,200
Dominica,1985,73201,-0.57 %,-423,,,,98,55 %,40290,0 %,4870921740,197
Dominica,1980,75314,0.88 %,644,,,,100,46.8 %,35216,0 %,4458003514,195
Dominica,1975,72094,0.29 %,204,,,,96,42.7 %,30763,0 %,4079480606,195
Dominica,1970,71073,1.79 %,1207,,,,95,38.7 %,27493,0 %,3700437046,194
Dominica,1965,65038,1.62 %,1005,,,,87,30.4 %,19798,0 %,3339583597,192
Dominica,1960,60011,1.92 %,1090,,,,80,37.8 %,22711,0 %,3034949748,192
Dominica,1955,54560,1.32 %,692,,,,73,36.3 %,19798,0 %,2773019936,192
Dominican Republic,2020,10847910,1.01 %,108952,-30000.0,28.0,2.36,225,84.5 %,9168876,0.14 %,7794798739,85
Dominican Republic,2019,10738958,1.05 %,111817,-30000.0,26.8,2.43,222,83.8 %,8998444,0.14 %,7713468100,85
Dominican Republic,2018,10627141,1.08 %,114037,-30000.0,26.8,2.43,220,83.0 %,8823303,0.14 %,7631091040,86
Dominican Republic,2017,10513104,1.11 %,115363,-30000.0,26.8,2.43,218,82.2 %,8643423,0.14 %,7547858925,87
Dominican Republic,2016,10397741,1.13 %,116061,-30000.0,26.8,2.43,215,81.4 %,8458941,0.14 %,7464022049,87
Dominican Republic,2015,10281680,1.18 %,117312,-30600.0,26.5,2.45,213,80.5 %,8271702,0.14 %,7379797139,87
Dominican Republic,2010,9695121,1.28 %,119573,-30755.0,25.0,2.57,201,75.3 %,7300054,0.14 %,6956823603,86
Dominican Republic,2005,9097257,1.44 %,125187,-30511.0,23.7,2.75,188,68.4 %,6223375,0.14 %,6541907027,87
Dominican Republic,2000,8471321,1.61 %,130415,-30029.0,22.5,2.95,175,62.4 %,5287718,0.14 %,6143493823,84
Dominican Republic,1995,7819247,1.85 %,137151,-28831.0,21.4,3.27,162,58.1 %,4545858,0.14 %,5744212979,85
Dominican Republic,1990,7133494,1.99 %,133853,-26894.0,20.3,3.58,148,55.6 %,3967238,0.13 %,5327231061,88
Dominican Republic,1985,6464229,2.18 %,132060,-23620.0,19.2,4.07,134,54.1 %,3495415,0.13 %,4870921740,87
Dominican Republic,1980,5803927,2.44 %,131858,-17420.0,18.1,4.76,120,51.3 %,2979572,0.13 %,4458003514,87
Dominican Republic,1975,5144637,2.71 %,128983,-14165.0,17.0,5.68,106,45.8 %,2355019,0.13 %,4079480606,85
Dominican Republic,1970,4499720,3.02 %,124391,-11234.0,16.0,6.65,93,40.3 %,1813592,0.12 %,3700437046,90
Dominican Republic,1965,3877765,3.32 %,116708,-8698.0,15.5,7.35,80,35.1 %,1359650,0.12 %,3339583597,97
Dominican Republic,1960,3294224,3.44 %,102578,-6344.0,16.0,7.64,68,30.2 %,994518,0.11 %,3034949748,94
Dominican Republic,1955,2781336,3.30 %,83336,-3791.0,16.8,7.6,58,26.8 %,746422,0.10 %,2773019936,97
Ecuador,2020,17643054,1.55 %,269392,36400.0,27.9,2.44,71,63.0 %,11123641,0.23 %,7794798739,67
Ecuador,2019,17373662,1.69 %,289304,36400.0,26.8,2.54,70,63.0 %,10941934,0.23 %,7713468100,67
Ecuador,2018,17084358,1.78 %,298997,36400.0,26.8,2.54,69,63.0 %,10762370,0.22 %,7631091040,67
Ecuador,2017,16785361,1.78 %,294245,36400.0,26.8,2.54,68,63.1 %,10585047,0.22 %,7547858925,69
Ecuador,2016,16491116,1.72 %,279096,36400.0,26.8,2.54,66,63.1 %,10410121,0.22 %,7464022049,68
Ecuador,2015,16212020,1.55 %,240181,-7600.0,26.5,2.56,65,63.1 %,10235174,0.22 %,7379797139,68
Ecuador,2010,15011117,1.66 %,237054,-9000.0,25.0,2.69,60,62.4 %,9362550,0.22 %,6956823603,66
Ecuador,2005,13825847,1.74 %,228945,-24000.0,23.7,2.94,56,61.3 %,8476093,0.21 %,6541907027,63
Ecuador,2000,12681123,2.05 %,245184,-14000.0,22.6,3.27,51,60.0 %,7614955,0.21 %,6143493823,63
Ecuador,1995,11455204,2.29 %,244854,-3800.0,21.6,3.55,46,57.7 %,6608741,0.20 %,5744212979,63
Ecuador,1990,10230934,2.45 %,232965,-3400.0,20.5,3.97,41,55.0 %,5629140,0.19 %,5327231061,67
Ecuador,1985,9066109,2.56 %,215385,-2800.0,19.5,4.45,37,51.1 %,4632910,0.19 %,4870921740,71
Ecuador,1980,7989186,2.70 %,198970,-1440.0,18.7,5.05,32,46.9 %,3745835,0.18 %,4458003514,72
Ecuador,1975,6994334,2.88 %,184992,-1100.0,18.0,5.8,28,42.3 %,2960081,0.17 %,4079480606,73
Ecuador,1970,6069376,2.97 %,165080,-1100.0,17.7,6.4,24,39.3 %,2385138,0.16 %,3700437046,73
Ecuador,1965,5243977,2.91 %,140062,-1800.0,17.8,6.65,21,36.7 %,1923650,0.16 %,3339583597,78
Ecuador,1960,4543666,2.81 %,117409,-1600.0,18.4,6.75,18,33.9 %,1539922,0.15 %,3034949748,77
Ecuador,1955,3956620,2.66 %,97292,-400.0,19.3,6.75,16,31.0 %,1227169,0.14 %,2773019936,78
Egypt,2020,102334404,1.94 %,1946331,-38033.0,24.6,3.33,103,43.0 %,44041052,1.31 %,7794798739,14
Egypt,2019,100388073,2.00 %,1964475,-38033.0,24.3,3.43,101,43.1 %,43229498,1.30 %,7713468100,14
Egypt,2018,98423598,2.05 %,1981007,-38033.0,24.3,3.43,99,43.1 %,42437529,1.29 %,7631091040,14
Egypt,2017,96442591,2.11 %,1995518,-38033.0,24.3,3.43,97,43.2 %,41659745,1.28 %,7547858925,14
Egypt,2016,94447073,2.17 %,2004526,-38033.0,24.3,3.43,95,43.3 %,40889370,1.27 %,7464022049,14
Egypt,2015,92442547,2.24 %,1936262,-56189.0,24.3,3.45,93,43.4 %,40123329,1.25 %,7379797139,15
Egypt,2010,82761235,1.85 %,1447533,-56715.0,23.7,3.02,83,43.7 %,36182597,1.19 %,6956823603,15
Egypt,2005,75523569,1.87 %,1338402,-14893.0,22.5,3.15,76,43.7 %,33035354,1.15 %,6541907027,16
Egypt,2000,68831561,2.00 %,1299505,-42180.0,21.1,3.6,69,43.5 %,29917321,1.12 %,6143493823,15
Egypt,1995,62334034,2.12 %,1239912,-92081.0,20.2,4.15,63,43.8 %,27278501,1.09 %,5744212979,15
Egypt,1990,56134475,2.65 %,1375149,-42437.0,19.7,5.0,56,44.5 %,24961581,1.05 %,5327231061,20
Egypt,1985,49258732,2.61 %,1189934,-78586.0,19.5,5.49,49,44.8 %,22059000,1.01 %,4870921740,20
Egypt,1980,43309063,2.36 %,951984,-119059.0,19.4,5.7,44,44.7 %,19340901,0.97 %,4458003514,21
Egypt,1975,38549142,2.24 %,807058,-111836.0,19.2,6.0,39,44.0 %,16964582,0.94 %,4079480606,21
Egypt,1970,34513850,2.55 %,816166,-47940.0,19.1,6.45,35,42.1 %,14536071,0.93 %,3700437046,21
Egypt,1965,30433022,2.70 %,760026,-10020.0,19.0,6.65,31,40.3 %,12253382,0.91 %,3339583597,22
Egypt,1960,26632894,2.78 %,681954,-10020.0,19.9,6.75,27,38.4 %,10221871,0.88 %,3034949748,22
Egypt,1955,23223124,2.57 %,554229,-10020.0,20.7,6.75,23,35.3 %,8194766,0.84 %,2773019936,22
El Salvador,2020,6486205,0.51 %,32652,-40539.0,27.6,2.05,313,73.4 %,4758508,0.08 %,7794798739,112
El Salvador,2019,6453553,0.51 %,32807,-40539.0,26.0,2.15,311,72.7 %,4688788,0.08 %,7713468100,111
El Salvador,2018,6420746,0.51 %,32620,-40539.0,26.0,2.15,310,71.9 %,4617807,0.08 %,7631091040,111
El Salvador,2017,6388126,0.50 %,31983,-40539.0,26.0,2.15,308,71.2 %,4545804,0.08 %,7547858925,110
El Salvador,2016,6356143,0.49 %,31019,-40539.0,26.0,2.15,307,70.4 %,4473087,0.09 %,7464022049,110
El Salvador,2015,6325124,0.45 %,28250,-48083.0,25.7,2.17,305,69.6 %,4399797,0.09 %,7379797139,110
El Salvador,2010,6183875,0.43 %,26350,-57134.0,24.2,2.4,298,65.2 %,4034898,0.09 %,6956823603,109
El Salvador,2005,6052123,0.55 %,32837,-62557.0,23.0,2.72,292,61.4 %,3716729,0.09 %,6541907027,102
El Salvador,2000,5887936,0.90 %,51867,-65371.0,22.0,3.34,284,58.7 %,3456741,0.10 %,6143493823,101
El Salvador,1995,5628600,1.33 %,71704,-53030.0,20.9,3.78,272,53.8 %,3029314,0.10 %,5744212979,99
El Salvador,1990,5270079,1.32 %,66654,-51337.0,19.6,4.17,254,49.1 %,2589320,0.10 %,5327231061,100
El Salvador,1985,4936807,1.46 %,69135,-46350.0,18.6,4.75,238,46.6 %,2298304,0.10 %,4870921740,99
El Salvador,1980,4591134,2.02 %,87288,-32846.0,17.9,5.44,222,44.0 %,2020033,0.10 %,4458003514,99
El Salvador,1975,4154692,2.49 %,96325,-18195.0,17.4,5.95,201,41.5 %,1723324,0.10 %,4079480606,98
El Salvador,1970,3673068,2.79 %,94351,-8861.0,17.1,6.36,177,39.4 %,1446857,0.10 %,3700437046,100
El Salvador,1965,3201313,2.96 %,86998,-4806.0,17.1,6.67,155,38.9 %,1244965,0.10 %,3339583597,107
El Salvador,1960,2766324,2.60 %,66689,-8776.0,17.6,6.6,134,38.3 %,1059695,0.09 %,3034949748,106
El Salvador,1955,2432880,2.03 %,46596,-12430.0,18.1,6.36,117,37.4 %,909227,0.09 %,2773019936,107
Equatorial Guinea,2020,1402985,3.47 %,46999,16000.0,22.3,4.55,50,73.3 %,1027990,0.02 %,7794798739,153
Equatorial Guinea,2019,1355986,3.59 %,47011,16000.0,22.2,4.9,48,72.8 %,987808,0.02 %,7713468100,154
Equatorial Guinea,2018,1308975,3.72 %,46973,16000.0,22.2,4.9,47,72.4 %,947881,0.02 %,7631091040,155
Equatorial Guinea,2017,1262002,3.85 %,46822,16000.0,22.2,4.9,45,72.0 %,908254,0.02 %,7547858925,156
Equatorial Guinea,2016,1215180,3.99 %,46612,16000.0,22.2,4.9,43,71.5 %,868940,0.02 %,7464022049,157
Equatorial Guinea,2015,1168568,4.37 %,44986,18000.0,22.1,4.99,42,71.0 %,830013,0.02 %,7379797139,157
Equatorial Guinea,2010,943639,4.71 %,38821,16000.0,21.5,5.4,34,66.5 %,627157,0.01 %,6956823603,159
Equatorial Guinea,2005,749535,4.34 %,28671,10001.0,20.6,5.69,27,58.3 %,437275,0.01 %,6541907027,162
